cmpy_id,security_id,name,symbol,sector,subsector,listing_date
62,358,"BHI Holdings, Inc.",BH,Holding Firms,Holding Firms,"Apr 02, 1973"
234,101,Bank of the Philippine Islands,BPI,Financials,Banks,"Oct 12, 1971"
60,188,Basic Energy Corporation,BSC,Industrial,"Electricity, Energy, Power & Water","Oct 16, 1973"
21,252,Belle Corporation,BEL,Property,Property,"Feb 02, 1977"
108,353,Benguet Corporation,BC,Mining and Oil,Mining,"Jan 04, 1950"
9,391,Berjaya Philippines Inc.,BCOR,Services,Casinos & Gaming,"Nov 29, 1948"
49,233,Bloomberry Resorts Corporation,BLOOM,Services,Casinos & Gaming,"Oct 17, 2000"
181,359,"Bogo-Medellin Milling Company, Inc.",BMM,Industrial,"Food, Beverage & Tobacco","Nov 16, 1950"
63,187,"Boulevard Holdings, Inc.",BHI,Services,Hotel & Leisure,"Apr 28, 1997"
66,116,Bright Kindle Resources & Investments Inc.,BKR,Financials,Other Financial Institutions,"Mar 21, 1995"
601,522,"COL Financial Group, Inc.",COL,Financials,Other Financial Institutions,"Jul 12, 2006"
624,560,"Cebu Air, Inc.",CEB,Services,Transportation Services,"Oct 26, 2010"
110,298,"Cebu Holdings, Incorporated",CHI,Property,Property,"Feb 14, 1994"
668,635,"Cebu Landmasters, Inc.",CLI,Property,Property,"Jun 02, 2017"
662,625,"Cemex Holdings Philippines, Inc.",CHP,Industrial,"Construction, Infrastructure & Allied Services","Jul 18, 2016"
183,366,"Central Azucarera de Tarlac, Inc.",CAT,Industrial,"Food, Beverage & Tobacco","Apr 12, 1977"
223,291,Centro Escolar University,CEU,Services,Education,"Nov 10, 1986"
652,597,"Century Pacific Food, Inc.",CNPF,Industrial,"Food, Beverage & Tobacco","May 06, 2014"
621,549,Century Peak Holdings Corporation,CPM,Mining and Oil,Mining,"Oct 06, 2009"
189,219,"Century Properties Group, Inc.",CPG,Property,Property,"Jun 16, 1976"
669,636,Chelsea Logistics and Infrastructure Holdings Corp.,C,Services,Transportation Services,"Aug 08, 2017"
22,367,"Chemical Industries of the Philippines, Inc.",CIP,Industrial,Chemicals,"Nov 21, 1985"
184,104,China Banking Corporation,CHIB,Financials,Banks,"Sep 01, 1927"
630,569,Cirtek Holdings Philippines Corporation,TECH,Industrial,Electrical Components & Equipment,"Nov 18, 2011"
209,308,"City & Land Developers, Incorporated",LAND,Property,Property,"Dec 13, 1999"
39,297,Cityland Development Corporation,CDC,Property,Property,"Aug 02, 1983"
228,457,"Citystate Savings Bank, Inc.",CSB,Financials,Banks,"Jan 03, 2002"
637,580,Coal Asia Holdings Incorporated,COAL,Mining and Oil,Mining,"Oct 23, 2012"
648,591,Concepcion Industrial Corporation ,CIC,Industrial,Electrical Components & Equipment,"Nov 27, 2013"
213,361,Concrete Aggregates Corporation,CA,Industrial,"Construction, Infra. & Allied Services","Oct 20, 1972"
680,656,"Converge Information and Communications Technology Solutions, Inc.",CNVRG,Services,Information and Technology,"Oct 26, 2020"
50,178,"Cosco Capital, Inc.",COSCO,Holding Firms,Holding Firms,"Sep 26, 1988"
657,611,Crown Asia Chemicals Corporation ,CROWN,Industrial,Chemicals,"Apr 27, 2015"
186,191,"Crown Equities, Inc.",CEI,Property,Property,"Aug 16, 1994"
67,295,Cyber Bay Corporation,CYBR,Property,Property,"Mar 19, 1991"
639,582,"D&L Industries, Inc.",DNL,Industrial,"Food, Beverage & Tobacco","Dec 12, 2012"
671,641,"D.M. Wenceslao & Associates, Incorporated",DMW,Property,Property,"Jun 29, 2018"
681,664,"DDMP REIT, Inc.",DDMPR,Property,Property,"Mar 24, 2021"
187,125,"DFNN, Inc.",DFNN,Services,Information Technology,"Oct 30, 2000"
36,324,DITO CME Holdings Corp.,DITO,Services,Information Technology,"Oct 01, 1975"
188,192,"DMCI Holdings, Inc.",DMC,Holding Firms,Holding Firms,"Dec 18, 1995"
642,585,Del Monte Pacific Limited,DELM,Industrial,"Food, Beverage & Tobacco","Jun 10, 2013"
647,590,Discovery World Corporation ,DWC,Services,Hotel & Leisure,"Nov 21, 2013"
68,323,"Dizon Copper-Silver Mines, Inc.",DIZ,Mining and Oil,Mining,"Feb 10, 1988"
651,596,DoubleDragon Properties Corp.,DD,Property,Property,"Apr 07, 2014"
71,148,EEI Corporation,EEI,Industrial,"Construction, Infra. & Allied Services","Jul 21, 1975"
667,634,Eagle Cement Corporation,EAGLE,Industrial,"Construction, Infrastructure & Allied Services","May 29, 2017"
634,573,East West Banking Corporation,EW,Financials,Banks,"May 07, 2012"
70,126,"EasyCall Communications Philippines, Inc.",ECP,Services,Other Services,"May 05, 1992"
632,571,Emperador Inc.,EMP,Industrial,"Food, Beverage & Tobacco","Dec 19, 2011"
190,300,"Empire East Land Holdings, Inc.",ELI,Property,Property,"Jun 28, 1996"
219,236,"Euro-Med Laboratories Phil., Inc.",EURO,Industrial,Chemicals,"Jul 02, 1998"
191,193,"Ever-Gotesco Resources and Holdings, Inc.",EVER,Property,Property,"Sep 16, 1996"
225,196,F & J Prince Holdings Corporation,FJP,Holding Firms,Holding Firms,"Dec 08, 1982"
25,292,"Far Eastern University, Incorporated",FEU,Services,Education,"Jul 11, 1986"
643,586,"Ferronoux Holdings, Inc.",FERRO,Financials,Other Financial Institutions,"Aug 13, 2013"
75,199,Filinvest Development Corporation,FDC,Holding Firms,Holding Firms,"Dec 22, 1982"
226,302,"Filinvest Land, Inc.",FLI,Property,Property,"Oct 25, 1993"
683,668,Filinvest REIT Corp.,FILRT,Property,Property,"Aug 12, 2021"
196,117,"Filipino Fund, Inc.",FFI,Financials,Other Financial Institutions,"Sep 27, 1995"
80,372,Filsyn Corporation,FYN,Industrial,Other Industrials,"Jun 03, 1975"
81,118,First Abacus Financial Holdings Corporation,FAF,Financials,Other Financial Institutions,"Nov 17, 1994"
600,521,First Gen Corporation,FGEN,Industrial,"Electricity, Energy, Power & Water","Feb 10, 2006"
649,592,"First Metro Philippine Equity Exchange Traded Fund, Inc.",FMETF,ETF-Equity,ETF-Equity,"Dec 02, 2013"
197,197,First Philippine Holdings Corporation,FPH,Industrial,"Electricity, Energy, Power & Water","May 23, 1963"
220,200,"Forum Pacific, Inc.",FPI,Holding Firms,Holding Firms,"Dec 19, 1994"
676,650,"Fruitas Holdings, Inc.",FRUIT,Industrial,"Food, Beverage & Tobacco","Nov 29, 2019"
198,201,"GEOGRACE Resources Philippines, Inc.",GEO,Mining and Oil,Mining,"Feb 07, 1972"
611,534,"GMA Holdings, Inc.",GMAP,Services,Media,"Jul 30, 2007"
610,533,"GMA Network, Inc.",GMA7,Services,Media,"Jul 30, 2007"
633,572,"GT Capital Holdings, Inc.",GTCAP,Holding Firms,Holding Firms,"Apr 20, 2012"
